year,nasdaq_1,nasdaq_3,nasdaq_6,nasdaq_12,nasdaq_48,spy_1,spy_3,spy_6,spy_12,spy_48
1971,-0.05375068443146558,-0.017994128231840212,-0.06879209699146827,,,,,,,
1972,0.017710750193348668,0.02444530945893364,0.010986478180700754,0.26907127013212473,,,,,,
1973,-0.012165450121654486,0.02324278913469624,0.015376065209336875,-0.16695797553005542,,,,,,
1974,0.17267483777938009,-0.06563262961367222,-0.25756019627981275,-0.4064951651158548,,,,,,
1975,0.038211382113821246,-0.06125949522175933,-0.033430049198940215,0.17768213956348,-0.26106664094898246,,,,,
1976,-0.0005528527200353572,-0.009641722362221938,0.015047725996631067,0.1797180892717305,-0.31309370012918913,,,,,
1977,-0.043693159351522404,-0.03989678443826927,0.009495982468955333,0.07025113397499716,-0.11749680715197963,,,,,
1978,-0.13990997749437362,-0.09589149120731799,-0.011296998965160343,0.1851354145131281,0.7622194897018137,,,,,
1979,-0.08804064442810355,-0.038618745595489945,0.01965767247178407,0.18988225032708228,0.7804750717828242,,,,,
1980,0.01861617972787677,0.11977505942373479,0.38280355097365404,0.4158481161120071,1.1368514216174357,,,,,
1981,0.08923739577005896,-0.0625,-0.0896714048366255,0.021227025627750473,1.038970436220798,,,,,
1982,0.1368309485956547,0.27409871117182405,0.15975563604908904,0.08755386565272505,0.8710859136502398,,,,,
1983,-0.07330980179201729,-0.09613347457627108,-0.06023267020031664,0.2727950773820622,1.0014660606949133,,,,,
1984,0.00044379891874446464,0.06265266766659527,-0.009150483497162964,-0.09181804863756238,0.28382086461299494,,,,,
1985,0.043794584235369305,-0.03256471826584639,0.051782712870579006,0.1860708956728636,0.4910519645120406,,,,,
1986,0.024975875574728912,-0.025683915178330685,-0.053789923232111625,0.22790792560606565,0.6834793958605256,,,,,
1987,-0.2678559482662505,-0.24195968877704155,-0.21534748112035185,-0.09085119344298609,0.20249780251977723,,,,,
1988,-0.005539950062421917,-0.014561855670103041,0.006873123716226948,0.16452958913288462,0.5419203935959995,,,,,
1989,-0.039037016772238475,0.007390412318824424,0.06823870680983446,0.1942984176801359,0.5526163680255685,,,,,
1990,-0.06781333709290838,-0.2415865660342731,-0.21630911461419933,-0.2760161177295024,-0.08456554244891168,,,,,
1991,0.02350002838167664,0.0729544778339779,0.10880393563595359,0.6362068965517238,0.6475192641549659,,,,,
1992,0.050559369218266426,0.043289374270210956,0.050904625177292884,0.12319523783114295,0.5890414541650322,,,,,
1993,0.026911940044285432,0.10755164909702408,0.17557858739181942,0.29000773573415395,0.716384898388227,-0.010673903332360068,0.001503688610789311,0.038573890918429665,,
1994,0.014864367574387582,0.06531006415120366,0.04254198844305246,-0.014774742590300649,1.3357229280096794,-0.039815397878970815,-0.03746015023606286,0.00789805209679284,0.008951279320375205,
1995,0.012583084364082397,0.04983301550786501,0.2362914820051567,0.3474662971548452,0.9235390900855935,0.04448071708943435,0.08554291552432969,0.14821501419922134,0.369005323267944,
1996,0.00022103789571925603,0.1118715020248442,0.018438557591317517,0.17422393080249887,1.0109287818687558,0.07300434373851372,0.16958620836956073,0.1485867253924933,0.2745783170905207,
1997,-0.035685972904218155,0.022360489986389398,0.28294372294372305,0.3341027026142187,1.079666228612986,0.038695961839130266,0.06197235324081518,0.13144302466875568,0.2786016117882322,1.2510083491126034
1998,0.11696116799910694,-0.027113608124898603,-0.03871487744470059,0.10486631737812746,1.3322109843432317,0.055681748698863665,0.21390832686194083,0.07222488939945038,0.23093832132526737,1.7462698103839687
1999,0.08433052596963675,0.1311236721641389,0.17040282696661135,0.6478613589796269,1.8521383950024028,0.01665147356417207,0.057631840542726076,0.07597393595231772,0.21336031196416783,1.4340407865697404
2000,-0.06598952058057106,-0.09554418372441342,-0.15782652195003644,0.12324229609286808,1.7283062417129105,-0.07465258675524067,-0.12951054797532935,-0.06922841450504447,-0.040855850697920526,0.8316614587718543
2001,0.17956581062642685,-0.15571606764714419,-0.19460022875696414,-0.4761189059785984,0.071362838807838,0.07797727540057386,0.002872821625135913,-0.08849928299502074,-0.12711982566670177,0.25044498513987756
2002,0.12109877072141839,0.06304687499999995,-0.18886696512133905,-0.22080971196243482,-0.24443753435763027,0.06168109381584719,0.028561251039223468,-0.11647315906305244,-0.16413964406870274,-0.15089377571231122
2003,0.07392550143266474,0.14693230435644278,0.33624436355734244,0.44609392224590283,-0.33695011204151437,0.010920887944567248,0.05341666354839325,0.10618475972775965,0.15137422032547576,-0.19427147293110292
2004,0.019395530841313846,0.04639314197527611,0.02122534455723346,0.006184885907404514,-0.4060490971653482,0.041431139672001294,0.06543725625004071,0.05274503651275575,0.12534303236046695,-0.054656190551941486
2005,-0.01919802545199778,-0.037045978372764576,0.0961294169496798,0.0677721264527471,0.21058810055546018,0.043951932141862216,0.027441056039019696,0.0583535496588945,0.08513419163898872,0.17521845569451888
2006,0.04323829102609933,0.13208599459745196,0.0128254634912508,0.10420756368108597,0.715550819431175,0.019886030983858216,0.080435718921118,0.11184948834332564,0.14098006361790194,0.6042163249257855
2007,0.01964253791513282,0.09435092624135133,0.10400824797652009,0.19726262128643945,0.42035371245616693,-0.03873268478101877,0.012028296363655544,-0.021595110665361017,0.0776566185246732,0.5015051662463805
2008,-0.16578235237266847,-0.2529814449406308,-0.3040984234352262,-0.3823130566080942,-0.12805891295893168,-0.06960709365876205,-0.2964402036655681,-0.3511601883719562,-0.38112992055792816,-0.17426367356764494
2009,-0.004024340455314412,0.02020800454045335,0.1919497440670077,0.18702681410854227,-0.030675717225231325,0.061606818045938594,0.07811506821628145,0.2005579995717217,0.25198115825116885,-0.047300941816806885
2010,0.056560160286829086,0.09126237278683957,0.002441230380111792,0.22235018543821994,0.07303532032471582,0.0,0.131178310799259,0.09436851805096924,0.0990634947015252,-0.08230056801735397
2011,0.11607437185069114,-0.05015284503080586,-0.08977402865841733,0.040769071078392116,-0.06722054650908993,-0.004063492294482773,0.027954906750071062,-0.06405105536590794,0.07582854162983477,-0.08385730241602574
2012,-0.030020587564597134,0.03419274641207304,-0.009959218997915076,0.15846042900543167,0.7494105993639686,0.005659754299754294,0.012389088819334093,0.09263982644056368,0.16164400467557294,0.7196366530357452
2013,0.027255250158460642,0.06700691561427097,0.18881038334348754,0.2986629404713814,0.9139371462033965,0.029638066670731433,0.11141040209641351,0.11865835889124665,0.301164032663747,0.7871909233090011
2014,0.04903111424688311,0.06576928025290396,0.12391670401821941,0.18277987985844102,0.8519785694894682,0.027471926245590694,0.03716062638831352,0.0855617715728314,0.1670150479553112,0.8976871774247788
2015,0.1080746388651157,0.0023009043316428723,0.024325776812595956,0.10524886234050657,0.9667160217264552,0.0036554044777523664,0.06123843074565549,-0.0016322510430296644,0.02753340738891108,0.8124978991758816
2016,-0.027786004938811892,-0.0059064079317927565,0.06974234004969282,0.0051549106228607755,0.7064495407376012,0.03683854534919617,0.018921850384831407,0.06102326625035803,0.07875454394262427,0.6831665611432371
2017,0.030661130139088222,0.05557022382735033,0.10258881082145899,0.30327461686827406,0.712509306381373,0.03056582170804467,0.07610461249295475,0.10844915918094711,0.22684647950086956,0.5870304728026625
2018,-0.07505505580232164,-0.03545022663622788,0.04254236924465937,0.10683046156274156,0.6025445632702511,0.018548885852912145,-0.04620004244758613,0.026578216923138775,0.05913930044850901,0.44032962359800254
2019,0.060404517568038996,0.033938592944007695,0.04183541127305057,0.12810496552354955,0.6356845420945361,0.03619829487377091,0.07971094379103638,0.15267646694765613,0.16290968204288236,0.6300912968577936
2020,-0.03256960882036919,0.005027148989250607,0.2734077478660537,0.30659281694171536,1.126213234295383,0.10877689764571108,0.04064955134521964,0.19975321939901125,0.17419577350779214,0.7743112387798754
2021,0.07065567355681113,0.062314940259804,0.12240268525928522,0.4232957734396461,1.3220204480587445,-0.008034822105442041,0.012090310913593916,0.0915976509892682,0.27596904635064945,0.8453541311837725
2022,0.006973370453139616,-0.1195029824609628,-0.13123543197920873,-0.30168595376226603,0.46499355668369646,0.055591522970956486,0.03586885766020642,-0.004376184640425329,-0.09155988325761866,0.5827887055590582
2023,-0.0185079844331546,-0.08558160895721134,0.06950772153349805,0.19930675750744875,0.557458504244968,0.09134381342304865,0.017008647470546645,0.10018232569849261,0.13712903436053092,0.5476997226365492
